experiment	bfrepair	bfrestore	timestamp	datafile	cdn	cdl	ccdn	ccdl	cbn	cbl	ccbn	ccbl	redundancy	method	timerepair	fw	ccw	cok	cambi	cambi%	cfail	cfail%	ctotal	timerestore	fm	rcw	rok	rambi	rambi%	rfail	rfail%	rtotal	dtouched	dincorrect	dproblems
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	128	crc32	0	1	2	31	0	0	176	85	207	0	8	2	176	1	1	0	0	176	207	1	1
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	128	md5	0	1	8	19	0	0	155	89	174	1	6	8	154	0	0	1	1	155	174	1	1
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	128	md5_16	0	1	1	31	1	0	175	85	206	0	9	1	176	0	0	0	0	176	206	12	12
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	128	md5_32	0	1	2	25	0	0	174	87	199	0	8	2	174	0	0	0	0	174	199	0	0
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	128	md5_64	0	1	4	30	0	0	167	85	197	1	7	4	167	0	0	0	0	167	197	0	0
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	32	crc32	0	1	2	40	0	0	176	81	216	0	10	2	176	7	4	0	0	176	216	8	8
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	32	md5	0	1	8	27	0	0	171	86	198	0	8	8	171	0	0	0	0	171	198	0	0
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	32	md5_32	0	1	2	40	0	0	177	82	217	0	10	2	177	0	0	0	0	177	217	0	0
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	32	md5_64	0	1	4	40	0	0	172	81	212	0	9	4	172	0	0	0	0	172	212	0	0
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	32	sha256	1	1	16	26	0	0	167	87	193	1	7	16	167	0	0	0	0	167	193	0	0
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	64	crc32	0	1	2	38	0	0	176	82	214	0	9	2	176	3	2	0	0	176	214	3	3
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	64	md5	0	1	8	28	0	0	167	86	195	1	7	8	167	0	0	0	0	167	195	0	0
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	64	md5_16	0	1	1	31	1	0	176	85	207	0	10	1	177	0	0	0	0	177	207	9	9
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	64	md5_32	0	1	2	33	0	0	179	84	212	0	9	2	179	0	0	0	0	179	212	0	0
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	64	md5_64	0	1	4	33	0	0	171	84	204	0	8	4	171	0	0	0	0	171	204	0	0
0-xxsmall	200	200	2013-04-29T09-07-01	zutphen.jpg	200	20	60	5	190	19	50	4	64	sha256	1	1	16	24	0	0	155	87	179	2	6	16	154	0	0	1	1	155	179	1	1
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	128	crc32	1	1	2	38	0	0	169	82	207	1	10	2	169	1	1	0	0	169	207	1	1
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	128	md5	2	1	8	23	0	0	151	87	174	2	8	8	151	0	0	0	0	151	174	0	0
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	128	md5_16	2	1	1	77	9	4	129	63	206	1	11	1	133	0	0	5	4	138	206	46	46
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	128	md5_32	2	1	2	32	0	0	167	84	199	1	10	2	167	0	0	0	0	167	199	0	0
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	128	md5_64	2	1	4	34	0	0	163	83	197	1	9	4	163	0	0	0	0	163	197	0	0
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	32	crc32	2	3	2	60	0	0	156	72	216	1	12	2	156	7	4	0	0	156	216	8	8
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	32	md5	1	1	8	34	0	0	164	83	198	1	10	8	164	0	0	0	0	164	198	0	0
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	32	md5_32	2	3	2	60	0	0	157	72	217	1	12	2	157	0	0	0	0	157	217	0	0
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	32	md5_64	2	1	4	52	0	0	160	75	212	1	11	4	160	0	0	0	0	160	212	0	0
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	32	sha256	3	1	16	30	0	0	163	84	193	1	9	16	163	0	0	0	0	163	193	0	0
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	64	crc32	1	1	2	50	0	0	164	77	214	1	11	2	164	3	2	0	0	164	214	3	3
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	64	md5	2	1	8	32	0	0	163	84	195	1	9	8	163	0	0	0	0	163	195	0	0
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	64	md5_16	1	3	1	81	14	7	126	61	207	1	12	1	134	0	0	6	4	140	207	40	40
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	64	md5_32	2	1	2	45	0	0	167	79	212	1	11	2	167	0	0	0	0	167	212	0	0
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	64	md5_64	2	1	4	40	0	0	164	80	204	1	10	4	164	0	0	0	0	164	204	0	0
1-xsmall	1000	1000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	64	sha256	5	1	16	28	0	0	151	84	179	3	8	16	151	0	0	0	0	151	179	0	0
2-small	5000	5000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	128	crc32	7	2	2	59	5	2	148	71	207	2	13	2	148	1	1	5	3	153	207	6	6
2-small	5000	5000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	128	md5	9	1	8	27	0	0	147	84	174	4	11	8	147	0	0	0	0	147	174	0	0
2-small	5000	5000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	128	md5_16	5	4	1	160	40	19	46	22	206	1	14	1	58	0	0	28	33	86	206	117	117
2-small	5000	5000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	128	md5_32	7	2	2	48	0	0	151	76	199	2	13	2	151	0	0	0	0	151	199	0	0
2-small	5000	5000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	128	md5_64	9	1	4	43	0	0	154	78	197	2	12	4	154	0	0	0	0	154	197	0	0
2-small	5000	5000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	32	crc32	6	6	2	78	3	1	138	64	216	1	15	2	138	6	4	3	2	141	216	11	11
2-small	5000	5000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	32	md5	6	2	8	50	0	0	148	75	198	2	13	8	148	0	0	0	0	148	198	0	0
2-small	5000	5000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	32	md5_32	6	6	2	75	0	0	142	65	217	1	15	2	142	0	0	0	0	142	217	0	0
2-small	5000	5000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	32	md5_64	7	4	4	69	0	0	143	67	212	2	14	4	143	0	0	0	0	143	212	0	0
2-small	5000	5000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	32	sha256	14	1	16	39	0	0	154	80	193	3	12	16	154	0	0	0	0	154	193	0	0
2-small	5000	5000	2013-04-18T20-47-49	zutphen.jpg	200	20	60	5	190	19	50	4	64	crc32	6	4	2	71	4	2	143	67	214	2	14	2	143	3	2	4	3	147	214	7	7
